artist_key,artist_name,platform,canonical_url,evidence_sources,evidence_url,confidence,status,discovery_date,verification_date
"hupe","$HUPE","instagram","https://www.instagram.com/elshupee","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCSWOKeFomDMZp3pwnbDaP1A/about","95","verified","2026-08-16","2026-08-16"
"hupe","$HUPE","tiktok","https://www.tiktok.com/@el_shupee","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCSWOKeFomDMZp3pwnbDaP1A/about","95","verified","2026-08-16","2026-08-16"
"3ballmty","3BallMTY","facebook","https://www.facebook.com/3BallMTY","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuybD64rCWFS0JApLGL2RVQ/about","95","verified","2026-08-16","2026-08-16"
"3ballmty","3BallMTY","instagram","https://www.instagram.com/3ballmtyoficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuybD64rCWFS0JApLGL2RVQ/about","95","verified","2026-08-16","2026-08-16"
"3ballmty","3BallMTY","tiktok","https://www.tiktok.com/@3ballmtyoficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuybD64rCWFS0JApLGL2RVQ/about","95","verified","2026-08-16","2026-08-16"
"3ballmty","3BallMTY","twitter","https://x.com/3ballmty","verified_musicbrainz_mapping+wikidata_social_identifier","http://www.wikidata.org/entity/Q4636221","95","verified","2026-08-16","2026-08-16"
"3ballmty","3BallMTY","twitter","https://twitter.com/3ballmty","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuybD64rCWFS0JApLGL2RVQ/about","95","verified","2026-08-16","2026-08-16"
"aaron y su grupo ilusion","Aaron Y Su Grupo Ilusion","facebook","https://www.facebook.com/aaronysugrupoilusion.oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCfxz6M7aqMV_GBXD8bOIoqQ/about","95","verified","2026-08-16","2026-08-16"
"aaron y su grupo ilusion","Aaron Y Su Grupo Ilusion","instagram","https://www.instagram.com/aaronysugrupoilusion.oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCfxz6M7aqMV_GBXD8bOIoqQ/about","95","verified","2026-08-16","2026-08-16"
"abraham vazquez","Abraham Vazquez","facebook","https://www.facebook.com/abrahvzqz9","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCytg7C1HZmYSUuqa_vZdB6g/about","95","verified","2026-08-16","2026-08-16"
"abraham vazquez","Abraham Vazquez","instagram","https://instagram.com/abrahvzqz","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCytg7C1HZmYSUuqa_vZdB6g/about","95","verified","2026-08-16","2026-08-16"
"adan romero","Adan Romero","facebook","https://www.facebook.com/AdanRomeroOficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmX42NyGOf_DZpuEMfdp5dw/about","95","verified","2026-08-16","2026-08-16"
"adan romero","Adan Romero","instagram","https://www.instagram.com/adanromerouno","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmX42NyGOf_DZpuEMfdp5dw/about","95","verified","2026-08-16","2026-08-16"
"adan romero","Adan Romero","tiktok","https://www.tiktok.com/@adanromerooficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmX42NyGOf_DZpuEMfdp5dw/about","95","verified","2026-08-16","2026-08-16"
"adrian l santos","Adrian L Santos","facebook","https://www.facebook.com/AdrianLSantos03","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCrHXzEmRE8yX_JLyd6C6Vlg/about","95","verified","2026-08-16","2026-08-16"
"adrian l santos","Adrian L Santos","instagram","https://www.instagram.com/adrianlsantos_oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCrHXzEmRE8yX_JLyd6C6Vlg/about","95","verified","2026-08-16","2026-08-16"
"adriel favela","Adriel Favela","facebook","https://www.facebook.com/AdrielFavelaMusica","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UClOeS4eR_7JnrYjiG-eqrTA/about","95","verified","2026-08-16","2026-08-16"
"adriel favela","Adriel Favela","instagram","https://www.instagram.com/adrielfavela","verified_spotify_mapping+wikidata_social_identifier+verified_youtube_identity_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q124004759 | https://www.youtube.com/channel/UClOeS4eR_7JnrYjiG-eqrTA/about","95","verified","2026-08-16","2026-08-16"
"adriel favela","Adriel Favela","tiktok","https://www.tiktok.com/@adrielfavela","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UClOeS4eR_7JnrYjiG-eqrTA/about","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","facebook","https://www.facebook.com/AidaCuevasOficial","verified_musicbrainz_mapping+wikidata_social_identifier","http://www.wikidata.org/entity/Q2827769","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","facebook","http://www.facebook.com/AidaCuevasOficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCSYYISFhfQ8loZ9Nj4-qqSQ/about","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","instagram","https://www.instagram.com/aidacuevasoficial","verified_musicbrainz_mapping+wikidata_social_identifier","http://www.wikidata.org/entity/Q2827769","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","instagram","http://www.instagram.com/AidaCuevasOficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCSYYISFhfQ8loZ9Nj4-qqSQ/about","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","twitter","https://x.com/AidaCuevas","verified_musicbrainz_mapping+wikidata_social_identifier","http://www.wikidata.org/entity/Q2827769","95","verified","2026-08-16","2026-08-16"
"aida cuevas","Aida Cuevas","twitter","http://www.twitter.com/AidaCuevas","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCSYYISFhfQ8loZ9Nj4-qqSQ/about","95","verified","2026-08-16","2026-08-16"
"alacranes musical","Alacranes Musical","facebook","https://www.facebook.com/alacranesmusical","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCFY1ki-iBjcdt70zL7yh_ZQ/about","95","verified","2026-08-16","2026-08-16"
"alacranes musical","Alacranes Musical","instagram","https://www.instagram.com/alacranesmusical","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCFY1ki-iBjcdt70zL7yh_ZQ/about","95","verified","2026-08-16","2026-08-16"
